BIA_ApostaUTC,Dia Semana Aposta (UTC),dow_norm,ApostaLive.rf_prob,rf_prob,proba_cli,proba_txt,proba_cli_legacy_buggy,proba_txt_legacy_buggy,abs_diff,match6,abs_diff_legacy,match6_legacy,closer_to_legacy
2025-12-16 14:16:00,terça-feira,terca-feira,0.100009,0.100009,0.995,0.995000,0.005,0.005000,0.894991,0,0.095009,0,1
2025-12-23 11:53:00,terça-feira,terca-feira,0.101693,0.101693,0.995,0.995000,0.005,0.005000,0.893307,0,0.096693,0,1
2025-11-25 12:15:00,terça-feira,terca-feira,0.104161,0.104161,0.995,0.995000,0.005,0.005000,0.8908389999999999,0,0.099161,0,1
2025-12-24 08:02:00,quarta-feira,quarta-feira,0.115846,0.115846,0.995,0.995000,0.995,0.995000,0.879154,0,0.879154,0,0
2025-11-26 23:19:00,quarta-feira,quarta-feira,0.116754,0.116754,0.995,0.995000,0.995,0.995000,0.878246,0,0.878246,0,0
2025-11-25 15:31:00,terça-feira,terca-feira,0.110362,0.110362,0.9857008128821357,0.985701,0.005,0.005000,0.8753388128821358,0,0.105362,0,1
2025-12-03 18:40:00,quarta-feira,quarta-feira,0.120153,0.120153,0.9864253529648124,0.986425,0.995,0.995000,0.8662723529648124,0,0.874847,0,0
2025-11-26 21:15:00,quarta-feira,quarta-feira,0.136294,0.136294,0.995,0.995000,0.995,0.995000,0.858706,0,0.858706,0,0
2025-12-09 18:31:00,terça-feira,terca-feira,0.140223,0.140223,0.995,0.995000,0.005,0.005000,0.854777,0,0.13522299999999998,0,1
2025-11-25 08:22:00,terça-feira,terca-feira,0.142264,0.142264,0.995,0.995000,0.005,0.005000,0.8527359999999999,0,0.137264,0,1
2025-11-25 02:32:00,terça-feira,terca-feira,0.135063,0.135063,0.9871846525236632,0.987185,0.005,0.005000,0.8521216525236632,0,0.13006299999999998,0,1
2025-12-10 04:07:00,quarta-feira,quarta-feira,0.146613,0.146613,0.995,0.995000,0.995,0.995000,0.848387,0,0.848387,0,0
2025-11-26 19:07:00,quarta-feira,quarta-feira,0.145735,0.145735,0.9937236738236688,0.993724,0.995,0.995000,0.8479886738236688,0,0.8492649999999999,0,0
2025-12-23 11:01:00,terça-feira,terca-feira,0.149963,0.149963,0.995,0.995000,0.005,0.005000,0.845037,0,0.144963,0,1
2025-12-03 08:31:00,quarta-feira,quarta-feira,0.151622,0.151622,0.995,0.995000,0.995,0.995000,0.843378,0,0.843378,0,0
2025-12-02 09:17:00,terça-feira,terca-feira,0.152561,0.152561,0.995,0.995000,0.005,0.005000,0.8424389999999999,0,0.147561,0,1
2025-12-03 04:07:00,quarta-feira,quarta-feira,0.153537,0.153537,0.995,0.995000,0.995,0.995000,0.841463,0,0.841463,0,0
2025-12-03 18:53:00,quarta-feira,quarta-feira,0.158112,0.158112,0.9927570181842793,0.992757,0.995,0.995000,0.8346450181842793,0,0.836888,0,0
2025-12-17 08:12:00,quarta-feira,quarta-feira,0.167441,0.167441,0.995,0.995000,0.995,0.995000,0.8275589999999999,0,0.8275589999999999,0,0
2025-12-09 07:02:00,terça-feira,terca-feira,0.172253,0.172253,0.995,0.995000,0.005,0.005000,0.822747,0,0.16725299999999999,0,1
2025-11-25 08:59:00,terça-feira,terca-feira,0.82613,0.82613,0.005,0.005000,0.995,0.995000,0.82113,0,0.16886999999999996,0,1
2025-12-10 09:19:00,quarta-feira,quarta-feira,0.184293,0.184293,0.9913703286286029,0.991370,0.995,0.995000,0.8070773286286028,0,0.810707,0,0
2025-12-24 08:40:00,quarta-feira,quarta-feira,0.19897,0.19897,0.995,0.995000,0.995,0.995000,0.79603,0,0.79603,0,0
2025-12-16 12:38:00,terça-feira,terca-feira,0.213146,0.213146,0.995,0.995000,0.005,0.005000,0.781854,0,0.208146,0,1
2025-12-17 10:36:00,quarta-feira,quarta-feira,0.22532,0.22532,0.995,0.995000,0.005,0.005000,0.76968,0,0.22032,0,1
2025-12-17 11:51:00,quarta-feira,quarta-feira,0.231899,0.231899,0.995,0.995000,0.995,0.995000,0.763101,0,0.763101,0,0
2025-11-26 19:38:00,quarta-feira,quarta-feira,0.232359,0.232359,0.995,0.995000,0.995,0.995000,0.762641,0,0.762641,0,0
2025-12-09 14:46:00,terça-feira,terca-feira,0.228208,0.228208,0.9906018837822745,0.990602,0.005,0.005000,0.7623938837822746,0,0.223208,0,1
2025-11-26 21:02:00,quarta-feira,quarta-feira,0.238408,0.238408,0.995,0.995000,0.995,0.995000,0.7565919999999999,0,0.7565919999999999,0,0
2025-12-03 05:51:00,quarta-feira,quarta-feira,0.244151,0.244151,0.9944042351418328,0.994404,0.995,0.995000,0.7502532351418328,0,0.750849,0,0
2025-11-25 11:32:00,terça-feira,terca-feira,0.754539,0.754539,0.005,0.005000,0.005,0.005000,0.749539,0,0.749539,0,0
2025-12-17 09:42:00,quarta-feira,quarta-feira,0.256303,0.256303,0.995,0.995000,0.005,0.005000,0.7386969999999999,0,0.251303,0,1
2025-12-02 18:09:00,terça-feira,terca-feira,0.25998,0.25998,0.995,0.995000,0.005,0.005000,0.73502,0,0.25498,0,1
2025-12-17 22:53:00,quarta-feira,quarta-feira,0.263472,0.263472,0.995,0.995000,0.995,0.995000,0.731528,0,0.731528,0,0
2025-12-02 09:59:00,terça-feira,terca-feira,0.734152,0.734152,0.005,0.005000,0.005,0.005000,0.729152,0,0.729152,0,0
2025-11-25 14:05:00,terça-feira,terca-feira,0.28732,0.28732,0.995,0.995000,0.005,0.005000,0.70768,0,0.28232,0,1
2025-12-23 09:33:00,terça-feira,terca-feira,0.287655,0.287655,0.995,0.995000,0.005,0.005000,0.707345,0,0.282655,0,1
2025-12-03 00:18:00,quarta-feira,quarta-feira,0.290169,0.290169,0.995,0.995000,0.005,0.005000,0.704831,0,0.285169,0,1
2025-12-10 10:33:00,quarta-feira,quarta-feira,0.296904,0.296904,0.995,0.995000,0.995,0.995000,0.698096,0,0.698096,0,0
2025-12-17 17:42:00,quarta-feira,quarta-feira,0.329534,0.329534,0.995,0.995000,0.995,0.995000,0.665466,0,0.665466,0,0
2025-11-25 04:32:00,terça-feira,terca-feira,0.339929,0.339929,0.995,0.995000,0.005,0.005000,0.655071,0,0.334929,0,1
2025-12-03 09:12:00,quarta-feira,quarta-feira,0.34587,0.34587,0.995,0.995000,0.995,0.995000,0.64913,0,0.64913,0,0
2025-12-02 13:54:00,terça-feira,terca-feira,0.648351,0.648351,0.00603771903070138,0.006038,0.995,0.995000,0.6423132809692986,0,0.346649,0,1
2025-11-26 15:52:00,quarta-feira,quarta-feira,0.355857,0.355857,0.995,0.995000,0.995,0.995000,0.639143,0,0.639143,0,0
2025-12-03 10:11:00,quarta-feira,quarta-feira,0.356635,0.356635,0.995,0.995000,0.995,0.995000,0.6383650000000001,0,0.6383650000000001,0,0
2025-12-08 09:08:00,segunda-feira,segunda-feira,0.723562,0.723562,0.08641975308641975,0.086420,0.6666666666666666,0.666667,0.6371422469135803,0,0.05689533333333341,0,1
2025-11-25 14:14:00,terça-feira,terca-feira,0.369093,0.369093,0.995,0.995000,0.005,0.005000,0.625907,0,0.364093,0,1
2025-12-17 02:45:00,quarta-feira,quarta-feira,0.401449,0.401449,0.995,0.995000,0.995,0.995000,0.5935509999999999,0,0.5935509999999999,0,0
2025-11-25 20:19:00,terça-feira,terca-feira,0.597059,0.597059,0.005,0.005000,0.995,0.995000,0.592059,0,0.397941,0,1
2025-11-25 12:27:00,terça-feira,terca-feira,0.413296,0.413296,0.995,0.995000,0.005,0.005000,0.581704,0,0.408296,0,1
2025-12-23 08:44:00,terça-feira,terca-feira,0.578296,0.578296,0.005,0.005000,0.005,0.005000,0.573296,0,0.573296,0,0
2025-12-23 14:54:00,terça-feira,terca-feira,0.427284,0.427284,0.995,0.995000,0.005,0.005000,0.567716,0,0.422284,0,1
2025-11-26 12:22:00,quarta-feira,quarta-feira,0.429459,0.429459,0.995,0.995000,0.995,0.995000,0.5655410000000001,0,0.5655410000000001,0,0
2025-12-02 05:20:00,terça-feira,terca-feira,0.567219,0.567219,0.005,0.005000,0.005,0.005000,0.562219,0,0.562219,0,0
2025-11-26 09:29:00,quarta-feira,quarta-feira,0.438102,0.438102,0.995,0.995000,0.995,0.995000,0.556898,0,0.556898,0,0
2025-12-02 07:59:00,terça-feira,terca-feira,0.448477,0.448477,0.995,0.995000,0.005,0.005000,0.546523,0,0.443477,0,1
2025-12-23 13:56:00,terça-feira,terca-feira,0.449337,0.449337,0.995,0.995000,0.005,0.005000,0.545663,0,0.444337,0,1
2025-12-03 13:02:00,quarta-feira,quarta-feira,0.452668,0.452668,0.995,0.995000,0.995,0.995000,0.542332,0,0.542332,0,0
2025-12-17 09:06:00,quarta-feira,quarta-feira,0.452825,0.452825,0.995,0.995000,0.995,0.995000,0.5421750000000001,0,0.5421750000000001,0,0
2025-11-25 06:50:00,terça-feira,terca-feira,0.462457,0.462457,0.995,0.995000,0.005,0.005000,0.532543,0,0.457457,0,1
2025-12-03 15:09:00,quarta-feira,quarta-feira,0.557832,0.557832,0.026586216429616418,0.026586,0.995,0.995000,0.5312457835703835,0,0.437168,0,1
2025-12-16 11:32:00,terça-feira,terca-feira,0.519862,0.519862,0.005,0.005000,0.995,0.995000,0.514862,0,0.47513799999999995,0,1
2025-12-02 06:58:00,terça-feira,terca-feira,0.489374,0.489374,0.995,0.995000,0.005,0.005000,0.505626,0,0.48437399999999997,0,1
2025-12-17 04:04:00,quarta-feira,quarta-feira,0.123998,0.123998,0.6270489028596797,0.627049,0.995,0.995000,0.5030509028596797,0,0.871002,0,0
2025-12-16 20:03:00,terça-feira,terca-feira,0.492118,0.492118,0.995,0.995000,0.005,0.005000,0.502882,0,0.487118,0,1
2025-11-26 16:32:00,quarta-feira,quarta-feira,0.263291,0.263291,0.7642152219603515,0.764215,0.005,0.005000,0.5009242219603516,0,0.258291,0,1
2025-12-24 12:29:00,quarta-feira,quarta-feira,0.278239,0.278239,0.778956499084401,0.778956,0.995,0.995000,0.500717499084401,0,0.716761,0,0
2025-12-02 10:09:00,terça-feira,terca-feira,0.498246,0.498246,0.995,0.995000,0.995,0.995000,0.496754,0,0.496754,0,0
2025-11-26 08:01:00,quarta-feira,quarta-feira,0.207775,0.207775,0.7012550350576416,0.701255,0.995,0.995000,0.49348003505764165,0,0.7872250000000001,0,0
2025-12-03 06:04:00,quarta-feira,quarta-feira,0.493004,0.493004,0.005450319336723693,0.005450,0.995,0.995000,0.4875536806632763,0,0.501996,0,0
2025-11-24 20:05:00,segunda-feira,segunda-feira,0.292769,0.292769,0.7777777777777777,0.777778,0.6666666666666666,0.666667,0.4850087777777777,0,0.37389766666666663,0,1
2025-12-15 02:43:00,segunda-feira,segunda-feira,0.292769,0.292769,0.7777777777777777,0.777778,0.6666666666666666,0.666667,0.4850087777777777,0,0.37389766666666663,0,1
2025-12-02 21:55:00,terça-feira,terca-feira,0.281167,0.281167,0.7531963965009981,0.753196,0.995,0.995000,0.4720293965009981,0,0.7138329999999999,0,0
2025-12-08 04:15:00,segunda-feira,segunda-feira,0.201987,0.201987,0.6666666666666666,0.666667,0.6666666666666666,0.666667,0.4646796666666666,0,0.4646796666666666,0,0
2025-12-09 00:39:00,terça-feira,terca-feira,0.462791,0.462791,0.005,0.005000,0.005,0.005000,0.457791,0,0.457791,0,0
2025-12-23 12:56:00,terça-feira,terca-feira,0.556867,0.556867,0.995,0.995000,0.005,0.005000,0.438133,0,0.551867,0,0
2025-12-08 07:11:00,segunda-feira,segunda-feira,0.340115,0.340115,0.7777777777777777,0.777778,0.6666666666666666,0.666667,0.4376627777777777,0,0.32655166666666663,0,1
2025-12-03 11:20:00,quarta-feira,quarta-feira,0.456318,0.456318,0.01987097739574639,0.019871,0.995,0.995000,0.4364470226042536,0,0.538682,0,0
2025-11-26 15:58:00,quarta-feira,quarta-feira,0.418293,0.418293,0.007239184928499328,0.007239,0.995,0.995000,0.4110538150715007,0,0.576707,0,0
2025-11-25 15:13:00,terça-feira,terca-feira,0.58782,0.58782,0.995,0.995000,0.005,0.005000,0.40718,0,0.58282,0,0
2025-12-03 16:32:00,quarta-feira,quarta-feira,0.329851,0.329851,0.7246795695611944,0.724680,0.995,0.995000,0.3948285695611944,0,0.665149,0,0
2025-12-23 11:30:00,terça-feira,terca-feira,0.380408,0.380408,0.005,0.005000,0.005,0.005000,0.375408,0,0.375408,0,0
2025-11-24 16:34:00,segunda-feira,segunda-feira,0.292769,0.292769,0.6666666666666666,0.666667,0.6666666666666666,0.666667,0.37389766666666663,0,0.37389766666666663,0,0
